"country","year","preamble"
"costa_rica",1949,"We, the Representatives of the People of Costa Rica, freely elected Deputies to the National Constituent Assembly, invoking the name of God and reiterating our faith in Democracy, decree and sanction the following:"
"cuba",1976,"WE, CUBAN CITIZENS, heirs and continuators of the creative work and the traditions of combativity, firmness, heroism and sacrifice fostered by our ancestors; by the Indians who preferred extermination to submission; by the slaves who rebelled against their masters; by those who awoke the national consciousness and the ardent Cuban desire for an independent homeland and liberty; by the patriots who in 1868 launched the wars of independence against Spanish colonialism and those who in the last drive of 1895 brought them to the victory of 1898, victory usurped by the military intervention and occupation of Yankee imperialism; by the workers, peasants, students, and intellectuals who struggled for over fifty years against imperialist domination, political corruption, the absence of peoples rights and liberties, unemployment and exploitation by capitalists and landowners; by those who promoted, joined and developed the first organization of workers and peasants, spread socialist ideas and founded the first Marxist and Marxist-Leninist movements; by the members of the vanguard of the generation of the centenary of the birth of Mart who, imbued with his teachings, led us to the peoples revolutionary victory of January; by those who defended the Revolution at the cost of their lives, thus contributing to its definitive consolidation; by those who, en masse, accomplished heroic internationalist missions; GUIDED by the ideology of Jos Mart, and the sociopolitical ideas of Marx, Engels, and Lenin; SUPPORTED by proletarian internationalism, by the fraternal friendship, aid, cooperation, and solidarity of the peoples of the world, especially those of Latin America and the Caribbean; AND HAVING DECIDED to carry forward the triumphant Revolution of the Moncada and the Granma, of the Sierra and of Girn under the leadership of Fidel Castro, which, sustained by the closest unity of all revolutionary forces and of the people, won full national independence, established the revolutionary power, carried out democratic changes, started the construction of socialism and, under the direction of the Communist Party, continues said construction with the objective of building a communist society; AWARE that all the regimes of the exploitation of man by man cause the humiliation of the exploited and the degradation of the human nature of the exploiters; that only under socialism and communism, when man has been freed from all forms of exploitationslavery, servitude and capitalismcan full dignity of the human being be attained; and that our Revolution uplifted the dignity of the country and of Cubans; WE DECLARE our will that the law of laws of the Republic be guided by the following strong desire of Jos Mart, at last achieved: I want the fundamental law of our republic to be the tribute of Cubans to the full dignity of man; AND ADOPT by means of our free vote in a referendum, the following: CONSTITUTION"
"czech_republic",1993,"We, the citizens of the Czech Republic in Bohemia, in Moravia, and in Silesia, At the time of the restoration of an independent Czech state, Faithful to all good traditions of the long-existing statehood of the lands of the Czech Crown, as well as of Czechoslovak statehood, Resolved to build, safeguard, and develop the Czech Republic in the spirit of the sanctity of human dignity and liberty, As the homeland of free citizens enjoying equal rights, conscious of their duties towards others and their responsibility towards the community, As a free and democratic state founded on respect for human rights and on the principles of civic society, As part of the family of democracies in Europe and around the world, Resolved to guard and develop together the natural and cultural, material and spiritual wealth handed down to us, Resolved to abide by all proven principles of a state governed by the rule of law, Through our freely-elected representatives, do adopt this Constitution of the Czech Republic."
"djibouti",1992,"In the name of God All-Powerful The Djiboutian People solemnly proclaim their attachment to the principles of Democracy and of the Rights of Man as they are defined by the Universal Declaration of the Rights of Man and by the African Charter of the Rights of Man and of Peoples, of which the provisions form an integral part of this Constitution. They affirm their determination to establish a State of Law and of Pluralist Democracy guaranteeing the full enjoyment of the individual and collective rights and freedoms as well as the harmonious development of the national community. They affirm their will to cooperate in peace and amity with all peoples who share their ideals of liberty, of justice and of solidarity, on the basis of mutual respect, of national sovereignty and of territorial integrity."
"dominica",1978,"Whereas the People of Dominica a. have affirmed that the Commonwealth of Dominica is founded upon principles that acknowledge the supremacy of God, faith in fundamental human rights and freedoms, the position of the family in a society of free men and free institutions, the dignity of the human person, and the equal and inalienable rights with which all members of the human family are endowed by their Creator; b. respect the principles of social justice and therefore believe that the operation of the economic system should result in so distributing the material resources of the community as to subserve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity; c. have asserted their belief in a democratic society in which all persons may, to the extent of their capacity, play some part in the institutions of the national life and thus develop and maintain due respect for lawfully-constituted authority; d. recognise that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and the rule of law; e. desire that their Constitution should make provision for ensuring the protection in the Commonwealth of Dominica of fundamental human rights and freedoms; Now, Therefore, the following provisions shall have effect as the Constitution of the Commonwealth of Dominica:"
"dominican_republic",2010,"We, representatives of the Dominican people, free and democratically elected, gathered in the National Revisory Assembly; invoking the name of God; guided by the ideology of our Fathers of the Fatherland, Juan Pablo Duarte, Matias Ramon Mella and Francisco del Rosario Sanchez, and the heroes of the Restoration that established a free, independent, sovereign and democratic Republic; inspired by the examples of the struggles and sacrifices of our immortal heroes and heroines; encouraged by the selfless work of our men and women; ruled by the supreme values and fundamental principles of human dignity, freedom, equality, the rule of law, justice, solidarity, fraternal coexistence, social well being, ecological balance, progress and peace, essential factors for social cohesion; declare our desire to promote the unity of the Dominican Nation, and as such while exercising of our self-determination we adopt and proclaim the following"
"ecuador",2008,"We women and men, the sovereign people of Ecuador RECOGNIZING our age-old roots, wrought by women and men from various peoples, CELEBRATING nature, the Pacha Mama (Mother Earth), of which we are a part and which is vital to our existence, INVOKING the name of God and recognizing our diverse forms of religion and spirituality, CALLING UPON the wisdom of all the cultures that enrich us as a society, AS HEIRS to social liberation struggles against all forms of domination and colonialism AND with a profound commitment to the present and to the future, Hereby decide to build A new form of public coexistence, in diversity and in harmony with nature, to achieve the good way of living, the sumak kawsay; A society that respects, in all its dimensions, the dignity of individuals and community groups; A democratic country, committed to Latin American integration-the dream of Simon Bolivar and Eloy Alfaro-peace and solidarity with all peoples of the Earth; And, exercising our sovereign powers, in Ciudad Alfaro, Montecristi, province of Manabi, we bestow upon ourselves the present: Constitution of the Republic of Ecuador"
"egypt",2014,"In the Name of God, Most Gracious, Most Merciful This is Our Constitution Egypt is the gift of the Nile and the gift of Egyptians to humanity. Blessed with a unique location and history, the Arab nation of Egypt is the heart of the whole world. It is the meeting point of its civilizations and cultures and the crossroads of its maritime transportation and communications. It is the tip of Africa on the Mediterranean and the estuary of its greatest river: the Nile. This is Egypt, an immortal homeland to Egyptians, and a message of peace and love to all peoples. In the beginning of history, the dawn of human conscience rose and shone forth in the hearts of our great ancestors, uniting their good intention to build the first central state that regulated and organized the life of Egyptians on the banks of the Nile. It is where they created the most amazing wonders of civilization, and where their hearts looked up to the heavens before earth knew the three revealed religions. Egypt is the cradle of religions and the banner of glory of the revealed religions. On its land, Moses grew up, the light of God appeared, and the message descended on Mount Sinai. On its land, Egyptians welcomed Virgin Mary and her baby and offered up thousands of martyrs in defense of the Church of Jesus. When the Seal of the Messengers Mohamed (Peace and Blessings Be Upon Him) was sent to all mankind to perfect the sublime morals, our hearts and minds were opened to the light of Islam. We were the best soldiers on Earth to fight for the cause of God, and we disseminated the message of truth and religious sciences across the world. This is Egypt; a homeland that we live in as much as it lives in us. In the modern age, minds were enlightened, humanity became mature, and nations and peoples progressed on the path of science, raising the banners of freedom and equality. Mohamed Ali founded the modern Egyptian state with a national army as its pillar. Refaa, the son of Al-Azhar, prayed that the homeland become a place of common happiness for its people. We, Egyptians, strived to keep up with the pace of development, and offered up martyrs and made sacrifices in several uprisings and revolutions until our patriotic army delivered victory to the sweeping popular will in the Jan 25  June 30 Revolution that called for bread, freedom and human dignity within a framework of social justice, and brought back the homelands free will. This revolution is but an extension to a process of national struggle whose brightest symbols were Ahmed Oraby, Mostafa Kamel, and Mohamed Farid. It was the capstone of two great revolutions in our modern history: The 1919 revolution that had rid Egypt and the Egyptians of the British guardianship, and had established the principle of citizenship and equality between the people of the same country. Its leader, Saad Zaghloul, and his successor, Mosfata El-Nahhas, walked the path of democracy, asserting that Truth is above power and the nation is above the government. During this revolution, Talaat Harb laid down the cornerstone of the national economy. The July 23, 1952 revolution that was led by the leader Gamal Abdel Nasser and was embraced by the popular will achieved the dream of generations for evacuation and independence. As a result, Egypt affirmed its Arab allegiance, opened up to its African continent and Muslim world, supported liberation movements across continents, and took firm steps on the path of development and social justice. This revolution represents an extension of the revolutionary march of Egyptian patriotism, and supports the strong bond between the Egyptian people and their patriotic army that bore the trust and responsibility of protecting the homeland. Thanks to it, we achieved victory in our greatest battles including driving off the 1956 Tripartite Aggression and the glorious victory of October that granted President Sadat a special place in our recent history. Compared to major revolutions in the history of mankind, the Jan 25  June 30 Revolution is a unique revolution, because of the heavy popular participation involved -- which was estimated to be in the tens of millions -- and the significant role of youth who aspire to a brighter future, the masses who transcended class and ideology to reach out to more expansive patriotic and human horizons, the manner in which the peoples army protected the popular will and the blessings granted to it by Al-Azhar and the patriotic church. It is also unique because of its peacefulness and ambition to achieve freedom and social justice together. This revolution is a sign and a good omen. It is a sign of a past that is still present and a good omen of a future to which all humanity aspires. The world has almost forgotten about an age that was torn by conflicts of interest between the east and the west, and the north and the south; an age where disputes and wars erupted between classes and peoples, where risks grew, threatening the existence of mankind and life on Earth, which God created for us. Humanity hopes to move from the age of maturity to the age of wisdom to build a new world where truth and justice prevail, and where freedoms and human rights are protected. We, Egyptians, believe that our revolution is an opportunity to return to help write a new history for mankind. We believe that we are capable of using the past as an inspiration, stirring up the present, and making our way to the future. We are capable of developing this homeland that develops us. We believe that every citizen is entitled to live in this homeland in safety and security, and that every citizen is entitled to a today and a tomorrow. We believe in democracy as a path, a future, and a way of life; in political multiplicity; and in the peaceful transfer of power. We affirm the right of the people to make their future. They, alone, are the source of authority. Freedom, human dignity, and social justice are a right of every citizen. Sovereignty in a sovereign homeland belongs to us and future generations. We are now drafting a Constitution that embodies the dream of generations of a prosperous united society and of a fair state that achieves the aspirations of today and tomorrow for individuals and society. We are now drafting a Constitution that completes building a modern democratic state with a civil government. We are drafting a Constitution that closes the door for any corruption or tyranny, heals the wounds of the past from the time of the old Eloquent Peasant to the victims of negligence and the martyrs of the revolution in our time, and relieves our people of the injustice they have suffered from for long. We are drafting a Constitution that affirms that the principles of Islamic Sharia are the principle source of legislation, and that the reference for interpretation thereof is the relevant texts in the collected rulings of the Supreme Constitutional Court. We are drafting a Constitution that paves the way to the future for us, and which is in line with the Universal Declaration of Human Rights, which we took part in the drafting of and approved. We are drafting a Constitution that maintains our freedom and protects the nation against every threat against it or against our national unity. We are drafting a Constitution that achieves equality between us in rights and duties with no discrimination. We are the citizens. We are the Egyptian people, sovereigns in a sovereign homeland. This is our will and this is the Constitution of our revolution. This is our Constitution."
"equatorial_guinea",1991,"We, the people of Equatorial Guinea, conscious of our responsibility before God and history; Driven by the will to safeguard our independence, organize and consolidate our national unity; Desirous of upholding the authoritic African spirit of family and community set-up adapted to the new social and legal structures of the modern world; Conscious of the fact that the charismatic authority of the traditional family is the foundation of the Equato-Guinean Society; Firmly support the principles of social justice and solemnly reaffirm our attachment to the mental freedoms enshrined in the universal Declaration of Human Rights of 1948; By virtue of these principles and the free determination of the people; Adopt the following Constitution of the Republic of Equatorial Guinea."
"eritrea",1997,"We, the people of Eritrea, united in a common struggle for our rights and common destiny: With Eternal Gratitude to the scores of thousands of our martyrs who sacrificed their lives for the causes of our rights and independence, during the long and heroic revolutionary struggle for liberation, and to the courage and steadfastness of our Eritrean patriots; and standing on the solid ground of unity and justice bequeathed by our martyrs and combatants; Aware that it is the sacred duty of all citizens to build a strong and advanced Eritrea on the bases of freedom, unity, peace, stability and security achieved through the long struggle of all Eritreans, which tradition we must cherish, preserve and develop; Realizing that in order to build an advanced country, it is necessary that the unity, equality, love for truth and justice, self-reliance, and hard work, which we nurtured during our revolutionary struggle for independence and which helped us to triumph, must become the core of our national values; Appreciating the fact that for the development and health of our society, it is necessary that we inherit and improve upon the traditional community-based assistance and fraternity, love for family, respect for elders, mutual respect and consideration; Convinced that the establishment of a democratic order, through the participation of and in response to the needs and interests of citizens, which guarantees the recognition and protection of the rights of citizens, human dignity, equality, balanced development and the satisfaction of the material and spiritual needs of citizens, is the foundation of economic growth, social harmony and progress; Noting the fact that the Eritrean women's heroic participation in the struggle for independence, human rights and solidarity, based on equality and mutual respect, generated by such struggle will serve as an unshakable foundation for our commitment to create a society in which women and men shall interact on the bases of mutual respect, solidarity and equality; Desirous that the Constitution we are adopting will be a covenant between us and the government, which we will be forming by our free will, to serve as a means for governing in harmony this and future generations and for bringing about justice and peace, founded on democracy, national unity and the rule of law; Today, 23 May 1997, on this historic date, after active popular participation, approve and solemnly ratify, through the Constituent Assembly, this Constitution as the fundamental law of our Sovereign and Independent State of Eritrea."
"estonia",1992,"With unwavering faith and a steadfast will to strengthen and develop the state, which embodies the inextinguishable right of the people of Estonia to national self-determination and which was proclaimed on 24 February 1918, which is founded on liberty, justice and the rule of law, which is created to protect the peace and defend the people against aggression from the outside, and which forms a pledge to present and future generations for their social progress and welfare, which must guarantee the preservation of the Estonian people, the Estonian language and the Estonian culture through the ages, the people of Estonia, on the basis of Article 1 of the Constitution which entered into force in 1938, and in the referendum held on 28 June 1992, have adopted the following Constitution."
"ethiopia",1994,"We, the Nations, Nationalities and Peoples of Ethiopia: Strongly committed, in full and free exercise of our right to self-determination, to building a political community founded on the rule of law and capable of ensuring a lasting peace, guaranteeing a democratic order, and advancing our economic and social development; Firmly convinced that the fulfillment of this objective requires full respect of individual and people's fundamental freedoms and rights, to live together on the basis of equality and without any sexual, religious or cultural discrimination; Further convinced that by continuing to live with our rich and proud cultural legacies in territories we have long inhabited, have, through continuous interaction on various levels and forms of life, built up common interests and have also contributed to the emergence of a common outlook; Fully cognizant that our common destiny can best be served by rectifying historically unjust relationships and by further promoting our shared interests; Convinced that to live as one economic community is necessary in order to create sustainable and mutually supportive conditions for ensuring respect for our rights and freedoms and for the collective promotion of our interests; Determined to consolidate, as a lasting legacy, the peace and the prospect of a democratic order which our struggles and sacrifices have brought about; Have therefore adopted, on 8 December 1994 this Constitution through representatives we have duly elected for this purpose as an instrument that binds us in a mutual commitment to fulfill the objectives and the principles set forth above."
"fiji",2013,"WE, THE PEOPLE OF FIJI, RECOGNISING the indigenous people or the iTaukei, their ownership of iTaukei lands, their unique culture, customs, traditions and language; RECOGNISING the indigenous people or the Rotuman from the island of Rotuma, their ownership of Rotuman lands, their unique culture, customs, traditions and language; RECOGNISING the descendants of the indentured labourers from British India and the Pacific Islands, their culture, customs, traditions and language; and RECOGNISING the descendants of the settlers and immigrants to Fiji, their culture, customs, traditions and language, DECLARE that we are all Fijians united by common and equal citizenry; RECOGNISE the Constitution as the supreme law of our country that provides the framework for the conduct of Government and all Fijians; COMMIT ourselves to the recognition and protection of human rights, and respect for human dignity; DECLARE our commitment to justice, national sovereignty and security, social and economic wellbeing, and safeguarding our environment, HEREBY ESTABLISH THIS CONSTITUTION FOR THE REPUBLIC OF FIJI."
"france",1958,"The French people solemnly proclaim their attachment to the Rights of Man and the principles of national sovereignty as defined by the Declaration of 1789, confirmed and complemented by the Preamble to the Constitution of 1946, and to the rights and duties as defined in the Charter for the Environment of 2004. By virtue of these principles and that of the self-determination of peoples, the Republic offers to the overseas territories which have expressed the will to adhere to them new institutions founded on the common ideal of liberty, equality and fraternity and conceived for the purpose of their democratic development. ARTICLE 1 France shall be an indivisible, secular, democratic and social Republic. It shall ensure the equality of all citizens before the law, without distinction of origin, race or religion. It shall respect all beliefs. It shall be organised on a decentralized basis. Statutes shall promote equal access by women and men to elective offices and posts as well as to position of professional and social responsibility."
"gabon",1991,"The Gabonese people, conscious of its responsibility before History, animated by the willingness to assure its independence and its national unity, to organize the common life according to the principles of national sovereignty, pluralist democracy, social justice, and republican legality; Solemnly affirms its adherence to the rights of man and the fundamental liberties such as they result from the Declaration of the Rights of Man and the Citizen of 1789 and the Universal Declaration of Human Rights of 1948, consecrated by the African Charter of the Rights of Man and the Rights of Peoples of 1981, and by the National Charter of Liberties of 1990; Solemnly proclaims its adherence to profound and traditional social values, to the cultural patrimony, material and spiritual, to the respect of liberties, rights and duties of the citizen. In virtue of these principles and of those of the sovereignty of the people, it adopts the present Constitution."
"gambia",1996,"In the name of God, the Almighty. We the people of The Gambia have accomplished a great and historic task. We have had our say on how we should be governed. For this Constitution contains our will and resolve for good governance and a just, secure and prosperous society. Our hopes and aspirations as a people were reflected in the enthusiasm and zeal with which we embarked on the task of nation building on the attainment of independence. The self-perpetuating rule of the recent past, however, soon gave rise to the abuse of office and related vices which negated the total welfare of the Gambian people. The sovereign people of The Gambia therefore endorsed the change of government on 22nd July 1994 to rectify such evils. This Constitution provides for us a fundamental Law, which affirms our commitment to freedom, justice, probity and accountability. It also affirms the principle that all power emanate from the sovereign will of the people. The fundamental rights and freedoms enshrined in this Constitution will ensure for all time respect for and observance of human rights and fundamental freedoms for all, without distinction as to ethnic considerations, gender, language or religion. In acknowledging our fundamental rights we also affirm our duties and responsibilities as citizens of this Country. This Constitution guarantees participatory democracy that reflects the undiluted choice of the people. The functions of the arms of government have been clearly defined, their independence amply secured with adequate checks and balances to ensure that they all work harmoniously together toward our common good. As we usher in the Second Republic and beyond we give ourselves and generations of Gambians yet unborn this Constitution as a beacon of hope for peace and stability in our society and the good governance of The Gambia for all time. In this spirit, we continue to pledge our firm allegiance to our beloved Country and pray that the Great God of Nations will keep us all ever true to The Gambia."
"georgia",1995,"The citizens of Georgia, whose firm will is to establish a democratic social order, economic freedom, a Rule of Law based social state, to secure universally recognised human rights and freedoms, to enhance the state independence and peaceful relations with other peoples, bearing in mind the centuries old traditions of the Statehood of the Georgian Nation and the basic principles of the Constitution of Georgia of 1921, proclaim nation-wide the present Constitution."
"germany",1949,"Conscious of their responsibility before God and man, Inspired by the determination to promote world peace as an equal partner in a united Europe, the German people, in the exercise of their constituent power, have adopted this Basic Law. Germans in the Lnder of Baden-Wrttemberg, Bavaria, Berlin, Brandenburg, Bremen, Hamburg, Hesse, Lower Saxony, Mecklenburg-Western Pomerania, North Rhine-Westphalia, Rhineland-Palatinate, Saarland, Saxony, Saxony-Anhalt, Schleswig-Holstein and Thuringia have achieved the unity and freedom of Germany in free self-determination. This Basic Law thus applies to the entire German people."
"ghana",1992,"IN THE NAME OF THE ALMIGHTY GOD We the People of Ghana, IN EXERCISE of our natural and inalienable right to establish a framework of government which shall secure for ourselves and posterity the blessings of liberty, equality of opportunity and prosperity; IN A SPIRIT of friendship and peace with all peoples of the world; AND IN SOLEMN declaration and affirmation of our commitment to; Freedom, Justice, Probity and Accountability, The Principle that all powers of Government spring from the Sovereign Will of the People; The Principle of Universal Adult Suffrage; The Rule of Law; The protection and preservation of Fundamental Human Rights and Freedoms, Unity and Stability for our Nation; DO HEREBY ADOPT, ENACT AND GIVE TO OURSELVES THIS CONSTITUTION."
"greece",1975,"In the name of the Holy and Consubstantial and Indivisible Trinity"
"grenada",1973,"Whereas the people of Grenada a. have affirmed that their nation is founded upon principles that acknowledge the fatherhood and supremacy of God and mans duties toward his fellow man; b. recognise that, inasmuch as spiritual development is of supreme importance to human existence, and the highest expression thereof, it is their aspiration to serve that end with all their strength and resources; c. firmly believe in the dignity of human values and that all men are endowed by the Creator with equal and inalienable rights, reason, and conscience; that rights and duties are correlatives in every social and political activity of man; and that while rights exalt individual freedom, duties express the dignity of that freedom; d. express their respect for the rule of law; and since moral conduct constitutes the noblest flowering of their culture and their plural heritage, regard it as the duty of every man always to hold it in high respect; e. reiterate that the ideal of free men enjoying freedom from fear and want can be best achieved if conditions are created whereby everyone may enjoy his economic, social and political, civil and cultural rights; f. desire that their constitution should reflect the above mentioned principles and beliefs which represent those high ideals upon which their nation is founded, and make provision for ensuring the protection in Grenada of fundamental rights and freedoms: Now, therefore, the following provisions shall have effect as the Constitution of Grenada:-"
"guatemala",1985,"INVOKING THE NAME OF GOD We, the representatives of the people of Guatemala, elected freely and democratically, gathered in [the] National Constituent Assembly, with the goal of legally and politically organizing the State; affirming the primacy of the human person as [the] subject and purpose [fin] of the social order; recognizing the family as the primary and fundamental genesis of the spiritual and moral values of the society and the State, as [the one] responsible for promoting the common good, of the consolidation of the regime of legality, security, justice, equality, freedom and peace; inspired by the ideals of our forefathers and embracing [recogiendo] our traditions and cultural heritage; decided to promote the complete validity [vigencia] of the Human Rights within a stable, permanent, and popular institutional order, [one] where the governed and the governors [can] proceed with absolute attachment to the law; SOLEMNLY DECREE, SANCTION, AND PROMULGATE THE FOLLOWING: POLITICAL CONSTITUTION OF THE REPUBLIC OF GUATEMALA"
"guinea",2010,"By its vote of 28 September 1958, the People of Guinea opted for freedom and constituted, [on] 2 October 1958, a sovereign State: THE REPUBLIC OF GUINEA; Drawing [tirant] the lessons from their past and from the political changes intervening since then; THE PEOPLE OF GUINEA, Proclaim: Their adhesion to the ideals and principles, rights and duties established in the Charter of the Organization of the United Nations, the Universal Declaration of the Rights of Man, the International Conventions and Pacts relative to the Rights of Man, the constitutive Act of the African Union, the African Charter of the Rights of Man and of Peoples and its additional protocols relative to the rights of women, as well as the revised Treaty of the Economic Community of West African States (ECOWAS) [Communaut conomique des tats dAfrique de lOuest (CEDEAO)] and its protocols on democracy and good governance. Reaffirms: Their willingness to edify within the unity and the national cohesion, a State of Law and of Pluralist Democracy. Their willingness to promote the good governance and to fight resolutely against corruption and economic crimes. These crimes are imprescriptible. Their willingness to establish relations of amity and of cooperation with all the Peoples of the world on the basis of the principles of equality, of respect for the national sovereignty, for the territorial integrity and for the reciprocal interest; Their attachment to the cause of the African unity, of the sub-regional and regional integration of the continent. Free to determine their institutions, the People of Guinea adopts this Constitution."
"guinea-bissau",1984,"In an exemplary manner, the PAIGC, having been founded on September 19, 1956, has accomplished its political and military action plan [Programa Minmo], consisting of liberating the people of Guinea and Cabo Verde, winning the sovereignty of the two respective states simultaneously, for the purpose of building a free and democratic society and social justice in each nation. The Party consecrated the independence, winning internal and international harmony, respect and admiration as the form for directing the future of the Guinea nation, namely through the creation and institutionalization of state structure. With the Readjusting Movement [Movimento Reajustador] of November 14, the Party reoriented its activities, correcting any errors that had to be overcome in order to build a unified, strong, and democratic society. Adopting this Constitution, which follows faithfully the thread of institutional evolution that has always reflected the ideas and choices of our peoplea policy reaffirmed by the profound transformation being brought about in our society by legality [lawfulness], by right, and by the enjoyment of fundamental libertiesthe National Popular Assembly of the Republic of Guinea-Bissau reveals that everything it articulates is imbued with the humanism that has always inspired us and that is reflected in our rights and liberties as herein guaranteed to the citizens, as an irreversible victory for our people. The Popular National Assembly congratulates the PAIGC on paper for being in the vanguard involved in unfolding the conduct of the destiny of the nation and congratulates itself for the courageous and timely decision that the Party of Amilcar Cabral took to support and expand the democratic opening to construct a pluralistic, just, and free society. The decision of the PAIGC follows in accordance with its historic tradition of acting at every moment as the repository for the deepest aspirations of our people. Therefore, acting as a faithful interpreter of the will of the People and exercising its responsibilities as the highest sovereign organ, the National Popular Assembly approves and adopts this Constitution of the Republic of Guinea-Bissau as Fundamental Law, which shall go into force on May 16, 1984."
"guyana",1980,"WE THE PEOPLE OF THE CO-OPERATIVE REPUBLIC OF GUYANA, the proud heirs of the indomitable spirit and unconquerable will of our forefathers who by their sacrifices, their blood and their labour made rich and fertile and bequeathed to us as our inalienable patrimony for all time this green land of Guyana, SALUTING the epic struggles waged by our forefathers for freedom, justice and human dignity and their relentless hostility to imperialist and colonial domination and all other forms and manifestations of oppression; ACCLAIMING those immortal leaders who in the vanguard of battle kept aloft the banner of freedom by the example of their courage, their fortitude and their martyrdom, whose names and deeds being forever enshrined in our hearts we forever respect, honour and revere; INSPIRED by the glorious victory of 26th May, 1966, when after centuries of heroic resistance and revolutionary endeavour we liberated ourselves from colonial bondage, won political independence and became free to mould our own destiny; CONSCIOUS of the fact that to bring about conditions necessary for the full flowering of the creative genius of the people of Guyana formal political sovereignty must be complemented by economic independence and cultural emancipation; HAVING ESTABLISHED the Republic on 23rd February, 1970, to reinforce our determination to chart an independent course of development in conformity with our historical experience, our cultural heritage and our common aspirations; PLEDGED to defend our national sovereignty, to respect human dignity and to cherish and uphold the principles of freedom, equality and democracy and all other fundamental human rights; DEDICATED to the principle that the people of Guyana are entitled as of right to enjoy the highest possible standard of living and quality of life consistent with their work and the possibilities of the country's resources; CONVINCED that the organisation of the State and society on socialist principles is the only means of ensuring social and economic justice for all of the people of Guyana; and, therefore, BEING MOTIVATED and guided by the principles of socialism; BEING OPPOSED to all social, economic and political systems which permit the exploitation of man by man; and ACKNOWLEDGING our common purpose of national cohesion and our common destiny as one people and one nation, DO SOLEMNLY RESOLVE to establish the State on foundations of social and economic justice, and accordingly by popular consensus, after full, free and open discussion, debate and participation, DO ADOPT the following-- CONSTITUTION OF THE CO-OPERATIVE REPUBLIC OF GUYANA"
"haiti",1987,"The Haitian people proclaim this Constitution: To guarantee their inalienable and imprescriptible rights to life, to liberty and to the pursuit of happiness; in accordance with their Act of Independence of 1804 and with the Universal Declaration of the Rights of Man of 1948. To constitute a Haitian nation, socially just, economically free, and politically independent. To establish a State stable and strong, capable of protecting the values, the traditions, the sovereignty, the independence and the national vision. To implant democracy which implies ideological pluralism and political alternation and to affirm the inviolable rights of the Haitian People. To fortify the national unity, eliminating all discrimination between the populations, of the towns and of the countryside, by the acceptance of the community of languages and of culture and by the recognition of the right to progress, to information, to education, to health, to work and to leisure for all citizens [masculine] and citizens [feminine]. To assure the separation, and the harmonious division of the powers of the State to the service of the fundamental interests and priorities of the Nation. To establish a governmental regime based on the fundamental liberties and the respect for human rights, the social peace, economic equity, the equity of gender, the concerted action and the participation of all the population in the grand decisions engaging the national life, by an effective decentralization. To assure to women a representation in the instances of power and of decision which must conform to the equality of the sexes and to equity of gender."
"honduras",1982,"We, the representatives elected by the sovereign will of the Honduran people, meeting in the National Constituent Assembly, invoking the protection of God and the example of our founding fathers, placing our faith in the restoration of the Central American union and faithfully interpreting the aspirations of the people who conferred upon us their mandate, hereby decree and sanction this Constitution so as to strengthen and perpetuate a rule of law which ensures a politically, economically and socially just society which affirms our nationality and establishes the conditions for the full realization of man as a human being, within a context of justice, liberty, security, stability, pluralism, peace, representative democracy and the common good."
