"study","treatment","therm1","therm2","therm3","therm4"
2,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,98
2,"Same-Sex Marriage Script by Gay Canvasser",75,73,91,61
1,"No Contact",72,72,NA,NA
1,"No Contact",54,54,NA,NA
2,"No Contact",51,30,46,45
2,"No Contact",42,NA,36,33
2,"No Contact",45,40,59,NA
2,"Same-Sex Marriage Script by Gay Canvasser",77,94,99,78
2,"Same-Sex Marriage Script by Gay Canvasser",52,82,90,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,48,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",59,59,NA,NA
1,"No Contact",56,56,NA,NA
1,"Recycling Script by Straight Canvasser",89,89,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",99,99,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,55,45,48
2,"Same-Sex Marriage Script by Gay Canvasser",86,96,86,91
1,"Same-Sex Marriage Script by Gay Canvasser",79,92,NA,NA
2,"No Contact",52,65,58,55
2,"No Contact",46,59,36,49
1,"No Contact",100,99,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",50,50,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,43,52
2,"Same-Sex Marriage Script by Gay Canvasser",1,9,0,2
2,"Same-Sex Marriage Script by Gay Canvasser",77,75,74,NA
1,"Recycling Script by Gay Canvasser",94,94,NA,NA
1,"Recycling Script by Gay Canvasser",12,12,NA,NA
1,"Recycling Script by Straight Canvasser",50,50,NA,NA
1,"Recycling Script by Straight Canvasser",75,75,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",66,66,NA,NA
1,"Recycling Script by Straight Canvasser",5,5,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",22,25,24,32
2,"Same-Sex Marriage Script by Gay Canvasser",79,76,77,70
1,"No Contact",52,52,NA,NA
1,"No Contact",89,89,NA,NA
1,"No Contact",48,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,54,55,53
2,"Same-Sex Marriage Script by Gay Canvasser",66,53,73,69
1,"Recycling Script by Straight Canvasser",100,96,NA,NA
1,"Recycling Script by Straight Canvasser",41,41,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Recycling Script by Straight Canvasser",34,34,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",53,48,59,51
2,"No Contact",75,78,61,86
1,"No Contact",71,NA,NA,NA
1,"No Contact",38,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,50,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,48,43,56
2,"Same-Sex Marriage Script by Gay Canvasser",65,69,69,55
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,95,95
2,"Same-Sex Marriage Script by Gay Canvasser",51,51,58,52
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",49,49,NA,NA
2,"No Contact",58,69,62,58
2,"No Contact",32,30,22,30
2,"No Contact",51,42,56,43
1,"No Contact",51,51,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",68,NA,NA,NA
2,"No Contact",50,NA,44,NA
2,"No Contact",5,0,2,3
1,"Same-Sex Marriage Script by Straight Canvasser",93,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",16,16,NA,NA
1,"No Contact",51,51,NA,NA
2,"No Contact",2,14,0,NA
2,"No Contact",37,46,56,50
2,"Same-Sex Marriage Script by Gay Canvasser",91,89,NA,91
2,"Same-Sex Marriage Script by Gay Canvasser",2,9,NA,4
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,98,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",13,14,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",67,67,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",37,37,NA,NA
1,"No Contact",88,88,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",34,34,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,53,47,46
2,"Same-Sex Marriage Script by Gay Canvasser",6,0,NA,0
2,"Same-Sex Marriage Script by Gay Canvasser",50,56,45,47
2,"Same-Sex Marriage Script by Gay Canvasser",50,66,49,73
2,"No Contact",60,NA,62,80
2,"No Contact",50,52,59,37
2,"No Contact",58,66,NA,47
2,"No Contact",50,50,54,46
1,"No Contact",76,76,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",90,90,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",31,32,53,56
2,"Same-Sex Marriage Script by Gay Canvasser",3,18,17,31
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
1,"Recycling Script by Straight Canvasser",50,52,NA,NA
2,"No Contact",50,50,51,45
2,"No Contact",3,0,1,0
2,"No Contact",50,NA,55,47
2,"No Contact",100,95,100,NA
1,"Same-Sex Marriage Script by Straight Canvasser",14,14,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,42,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",38,41,70,35
2,"Same-Sex Marriage Script by Gay Canvasser",56,50,62,45
1,"No Contact",52,52,NA,NA
2,"No Contact",26,21,11,29
2,"No Contact",70,79,66,75
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",50,59,56,58
2,"Same-Sex Marriage Script by Gay Canvasser",52,58,NA,69
2,"Same-Sex Marriage Script by Gay Canvasser",50,53,58,49
2,"Same-Sex Marriage Script by Gay Canvasser",41,NA,41,46
2,"Same-Sex Marriage Script by Gay Canvasser",91,99,94,94
2,"Same-Sex Marriage Script by Gay Canvasser",90,67,100,81
1,"No Contact",81,81,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",10,10,NA,NA
1,"Recycling Script by Gay Canvasser",17,NA,NA,NA
2,"No Contact",50,NA,44,45
2,"No Contact",70,60,56,71
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
2,"No Contact",42,39,32,42
1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
1,"Recycling Script by Gay Canvasser",13,13,NA,NA
1,"No Contact",85,85,NA,NA
1,"Recycling Script by Gay Canvasser",87,87,NA,NA
1,"Recycling Script by Straight Canvasser",86,86,NA,NA
1,"Recycling Script by Straight Canvasser",41,41,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
2,"No Contact",85,82,NA,81
2,"No Contact",22,26,14,23
2,"No Contact",100,100,100,NA
1,"No Contact",50,47,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,62,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",42,43,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",21,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",31,31,NA,NA
1,"Recycling Script by Gay Canvasser",39,39,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",22,22,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",100,95,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",21,21,33,28
2,"Same-Sex Marriage Script by Gay Canvasser",94,79,100,95
2,"Same-Sex Marriage Script by Gay Canvasser",78,84,71,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",76,76,NA,NA
1,"No Contact",1,1,NA,NA
1,"Recycling Script by Straight Canvasser",98,100,NA,NA
2,"No Contact",50,51,NA,46
2,"No Contact",29,34,25,45
2,"No Contact",64,63,80,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",44,44,NA,NA
1,"Recycling Script by Gay Canvasser",81,81,NA,NA
1,"Recycling Script by Gay Canvasser",100,98,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",59,73,64,NA
1,"Recycling Script by Gay Canvasser",34,34,NA,NA
1,"Recycling Script by Gay Canvasser",19,19,NA,NA
1,"Recycling Script by Gay Canvasser",83,83,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",73,70,NA,71
2,"Same-Sex Marriage Script by Gay Canvasser",95,95,100,76
2,"Same-Sex Marriage Script by Gay Canvasser",50,64,NA,55
2,"Same-Sex Marriage Script by Gay Canvasser",54,75,NA,82
2,"Same-Sex Marriage Script by Gay Canvasser",73,80,73,72
1,"No Contact",18,18,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",50,49,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",97,100,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",79,80,NA,71
2,"Same-Sex Marriage Script by Gay Canvasser",60,NA,51,67
2,"Same-Sex Marriage Script by Gay Canvasser",50,52,58,72
1,"No Contact",100,100,NA,NA
2,"No Contact",5,NA,8,0
2,"No Contact",10,22,14,10
2,"No Contact",90,99,94,86
2,"No Contact",22,21,31,NA
2,"No Contact",72,72,63,76
1,"Same-Sex Marriage Script by Gay Canvasser",100,95,NA,NA
2,"No Contact",13,37,22,21
2,"No Contact",56,57,47,62
2,"No Contact",50,49,46,60
2,"No Contact",54,52,NA,NA
2,"No Contact",50,51,47,55
2,"No Contact",50,53,48,55
1,"No Contact",50,51,NA,NA
1,"No Contact",50,58,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",75,75,NA,NA
1,"Recycling Script by Gay Canvasser",67,66,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",33,36,42,28
2,"Same-Sex Marriage Script by Gay Canvasser",50,50,52,46
2,"Same-Sex Marriage Script by Gay Canvasser",4,0,0,0
1,"No Contact",90,90,NA,NA
1,"No Contact",8,8,NA,NA
1,"Recycling Script by Straight Canvasser",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",31,31,NA,NA
2,"No Contact",40,36,NA,NA
2,"No Contact",2,2,6,0
1,"No Contact",56,56,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",48,48,NA,NA
1,"No Contact",79,79,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,83,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,92,NA,NA
2,"No Contact",74,78,60,75
2,"No Contact",60,63,48,64
1,"No Contact",3,3,NA,NA
1,"No Contact",70,70,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",20,35,36,28
2,"Same-Sex Marriage Script by Gay Canvasser",1,11,2,0
2,"Same-Sex Marriage Script by Gay Canvasser",5,0,23,8
2,"Same-Sex Marriage Script by Gay Canvasser",81,96,91,89
2,"No Contact",51,47,NA,46
2,"No Contact",96,88,95,100
1,"Recycling Script by Gay Canvasser",11,11,NA,NA
1,"Recycling Script by Gay Canvasser",50,40,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",83,89,87,83
2,"Same-Sex Marriage Script by Gay Canvasser",2,0,1,0
2,"Same-Sex Marriage Script by Gay Canvasser",46,45,44,48
2,"Same-Sex Marriage Script by Gay Canvasser",50,27,40,54
2,"Same-Sex Marriage Script by Gay Canvasser",62,NA,75,80
2,"Same-Sex Marriage Script by Gay Canvasser",81,83,83,NA
1,"No Contact",2,2,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,50,46,49
1,"Recycling Script by Gay Canvasser",43,NA,NA,NA
1,"Recycling Script by Gay Canvasser",88,88,NA,NA
1,"Recycling Script by Gay Canvasser",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",51,42,NA,NA
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,75,67,62
1,"No Contact",100,99,NA,NA
1,"No Contact",90,90,NA,NA
2,"No Contact",62,69,61,65
2,"No Contact",43,46,60,49
2,"No Contact",11,NA,19,0
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",66,76,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",21,25,NA,NA
1,"No Contact",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",56,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",80,80,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",1,NA,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",16,17,12,24
2,"Same-Sex Marriage Script by Gay Canvasser",50,63,61,62
1,"No Contact",48,48,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",44,22,48,52
2,"No Contact",96,100,90,97
1,"No Contact",61,61,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",3,3,NA,NA
2,"No Contact",100,100,92,100
1,"No Contact",61,61,NA,NA
1,"No Contact",50,60,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",50,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",92,98,91,84
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,48,55
1,"No Contact",100,100,NA,NA
1,"No Contact",59,59,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",80,NA,NA,NA
2,"No Contact",53,50,67,46
1,"No Contact",100,100,NA,NA
1,"No Contact",63,63,NA,NA
2,"No Contact",55,63,NA,59
2,"No Contact",51,46,NA,54
1,"No Contact",50,53,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,52,NA,NA
2,"No Contact",57,53,56,56
2,"No Contact",44,40,25,60
1,"Same-Sex Marriage Script by Straight Canvasser",61,79,NA,NA
2,"No Contact",9,20,8,12
2,"No Contact",50,54,47,34
2,"No Contact",51,37,28,44
1,"Recycling Script by Straight Canvasser",100,98,NA,NA
1,"Recycling Script by Straight Canvasser",50,46,NA,NA
1,"No Contact",31,31,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",1,1,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",56,56,NA,NA
1,"Recycling Script by Gay Canvasser",22,22,NA,NA
1,"No Contact",72,NA,NA,NA
2,"No Contact",5,25,NA,4
2,"No Contact",50,46,54,42
1,"No Contact",31,31,NA,NA
1,"No Contact",98,98,NA,NA
1,"Recycling Script by Straight Canvasser",61,61,NA,NA
1,"Recycling Script by Straight Canvasser",14,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,71,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",65,71,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",88,88,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",83,87,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,50
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
1,"Recycling Script by Straight Canvasser",78,78,NA,NA
1,"Recycling Script by Straight Canvasser",2,2,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",74,100,NA,96
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,93,NA
2,"No Contact",50,48,44,43
2,"No Contact",67,53,64,78
1,"Same-Sex Marriage Script by Gay Canvasser",71,73,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,4,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,73,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",66,66,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",64,68,68,69
1,"No Contact",54,54,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",8,8,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",64,64,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",7,7,NA,NA
2,"No Contact",90,80,97,100
2,"No Contact",96,100,97,86
2,"No Contact",91,90,81,85
2,"Same-Sex Marriage Script by Gay Canvasser",50,65,47,56
2,"Same-Sex Marriage Script by Gay Canvasser",50,79,72,80
1,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",100,97,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",70,71,70,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,45,60,NA
2,"Same-Sex Marriage Script by Gay Canvasser",6,28,NA,34
2,"No Contact",1,11,0,13
2,"No Contact",90,92,97,82
2,"No Contact",47,39,39,48
2,"No Contact",69,65,72,65
1,"No Contact",80,80,NA,NA
2,"No Contact",94,NA,96,NA
2,"No Contact",97,99,82,NA
2,"No Contact",10,NA,17,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",82,82,NA,NA
1,"Recycling Script by Gay Canvasser",73,73,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",61,74,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",93,93,NA,NA
1,"Recycling Script by Gay Canvasser",50,40,NA,NA
1,"Recycling Script by Straight Canvasser",65,65,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",99,100,100,94
1,"No Contact",50,42,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",76,76,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",71,71,NA,NA
2,"No Contact",97,100,92,94
2,"No Contact",2,2,13,0
2,"No Contact",77,NA,86,74
1,"No Contact",66,66,NA,NA
1,"No Contact",9,9,NA,NA
1,"No Contact",43,43,NA,NA
1,"No Contact",56,56,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",99,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",69,71,61,60
2,"Same-Sex Marriage Script by Gay Canvasser",54,55,66,49
1,"Same-Sex Marriage Script by Gay Canvasser",71,93,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",78,NA,91,77
2,"Same-Sex Marriage Script by Gay Canvasser",98,100,91,94
2,"Same-Sex Marriage Script by Gay Canvasser",20,29,17,30
1,"No Contact",52,52,NA,NA
1,"No Contact",100,95,NA,NA
2,"No Contact",2,11,NA,3
2,"No Contact",64,58,55,54
1,"Same-Sex Marriage Script by Gay Canvasser",33,33,NA,NA
2,"No Contact",50,46,51,47
2,"No Contact",50,54,42,51
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",45,54,48,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,60,48
2,"Same-Sex Marriage Script by Gay Canvasser",52,54,48,55
2,"Same-Sex Marriage Script by Gay Canvasser",49,NA,47,51
2,"Same-Sex Marriage Script by Gay Canvasser",50,63,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",79,84,85,74
2,"Same-Sex Marriage Script by Gay Canvasser",99,100,100,100
2,"No Contact",11,11,14,NA
2,"No Contact",50,53,43,48
1,"No Contact",80,80,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",81,81,NA,NA
1,"Recycling Script by Straight Canvasser",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",42,42,NA,NA
2,"No Contact",2,4,0,0
2,"No Contact",50,47,55,61
1,"No Contact",29,29,NA,NA
1,"No Contact",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",90,98,89,90
2,"Same-Sex Marriage Script by Gay Canvasser",53,56,44,59
1,"No Contact",1,1,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",95,95,NA,NA
1,"Recycling Script by Gay Canvasser",31,31,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",61,61,NA,NA
1,"Recycling Script by Straight Canvasser",76,76,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",74,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",93,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",38,37,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",11,9,NA,NA
2,"No Contact",91,NA,NA,95
2,"No Contact",92,100,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,99,92
2,"Same-Sex Marriage Script by Gay Canvasser",2,0,24,6
2,"Same-Sex Marriage Script by Gay Canvasser",50,52,50,45
2,"Same-Sex Marriage Script by Gay Canvasser",67,72,83,80
2,"Same-Sex Marriage Script by Gay Canvasser",74,69,NA,77
1,"No Contact",80,80,NA,NA
1,"No Contact",50,51,NA,NA
2,"No Contact",50,53,46,58
2,"No Contact",4,2,17,NA
2,"No Contact",100,100,100,NA
1,"Same-Sex Marriage Script by Gay Canvasser",63,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,9,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
1,"No Contact",76,76,NA,NA
1,"Recycling Script by Straight Canvasser",90,90,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",89,89,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",61,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",56,56,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",41,41,NA,NA
2,"No Contact",44,43,NA,44
2,"No Contact",3,5,1,1
1,"No Contact",50,43,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",95,95,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",71,71,NA,NA
1,"No Contact",79,79,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,56,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",90,79,90,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,56,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
2,"No Contact",11,15,0,8
2,"No Contact",42,37,50,50
1,"Recycling Script by Straight Canvasser",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",50,57,NA,NA
1,"Recycling Script by Straight Canvasser",4,4,NA,NA
1,"Recycling Script by Gay Canvasser",75,72,NA,NA
1,"Recycling Script by Gay Canvasser",2,2,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",49,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",75,75,NA,NA
1,"No Contact",40,40,NA,NA
1,"No Contact",50,55,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,98
2,"No Contact",37,48,30,26
2,"No Contact",70,79,51,77
2,"No Contact",27,28,14,20
2,"No Contact",99,100,100,NA
2,"No Contact",3,0,0,0
2,"Same-Sex Marriage Script by Gay Canvasser",75,63,87,72
1,"No Contact",72,72,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",50,44,NA,NA
2,"No Contact",50,54,53,52
2,"No Contact",72,65,NA,69
1,"Recycling Script by Straight Canvasser",98,98,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",21,25,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",78,85,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",76,95,96,82
1,"No Contact",52,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,63,46,54
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,97,100
1,"No Contact",41,41,NA,NA
1,"No Contact",92,92,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",82,79,75,NA
2,"Same-Sex Marriage Script by Gay Canvasser",59,61,NA,67
1,"Recycling Script by Straight Canvasser",51,NA,NA,NA
1,"No Contact",33,NA,NA,NA
2,"No Contact",58,51,54,NA
2,"No Contact",31,24,42,41
2,"Same-Sex Marriage Script by Gay Canvasser",78,70,NA,80
1,"Same-Sex Marriage Script by Gay Canvasser",30,30,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",7,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",19,19,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",77,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",4,4,NA,NA
1,"No Contact",57,57,NA,NA
1,"No Contact",85,NA,NA,NA
2,"No Contact",50,49,40,54
2,"No Contact",72,69,90,80
2,"No Contact",94,98,100,99
1,"No Contact",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,54,45
2,"Same-Sex Marriage Script by Gay Canvasser",79,75,NA,72
2,"Same-Sex Marriage Script by Gay Canvasser",80,69,92,93
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,53,46
2,"Same-Sex Marriage Script by Gay Canvasser",72,79,86,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",56,56,NA,NA
1,"Recycling Script by Gay Canvasser",50,53,NA,NA
